well,channel,signal
A1,540ex/590em,299000
A2,540ex/590em,301000
A3,540ex/590em,300000
A4,540ex/590em,1548000
A5,540ex/590em,1551000
A6,540ex/590em,1552000
A7,540ex/590em,348000
A8,540ex/590em,351000
A9,540ex/590em,352000
A10,540ex/590em,NA
A11,540ex/590em,NA
A12,540ex/590em,NA
B1,540ex/590em,299000
B2,540ex/590em,301000
B3,540ex/590em,300000
B4,540ex/590em,3048000
B5,540ex/590em,3051000
B6,540ex/590em,3052000
B7,540ex/590em,378000
B8,540ex/590em,381000
B9,540ex/590em,382000
B10,540ex/590em,NA
B11,540ex/590em,NA
B12,540ex/590em,NA
C1,540ex/590em,543500
C2,540ex/590em,546000
C3,540ex/590em,545500
C4,540ex/590em,10298000
C5,540ex/590em,10301000
C6,540ex/590em,10302000
C7,540ex/590em,398000
C8,540ex/590em,401000
C9,540ex/590em,402000
C10,540ex/590em,NA
C11,540ex/590em,NA
C12,540ex/590em,NA
D1,540ex/590em,808500
D2,540ex/590em,811000
D3,540ex/590em,810500
D4,540ex/590em,NA
D5,540ex/590em,NA
D6,540ex/590em,NA
D7,540ex/590em,NA
D8,540ex/590em,NA
D9,540ex/590em,NA
D10,540ex/590em,NA
D11,540ex/590em,NA
D12,540ex/590em,NA
E1,540ex/590em,1283000
E2,540ex/590em,1286500
E3,540ex/590em,1285500
E4,540ex/590em,NA
E5,540ex/590em,NA
E6,540ex/590em,NA
E7,540ex/590em,NA
E8,540ex/590em,NA
E9,540ex/590em,NA
E10,540ex/590em,NA
E11,540ex/590em,NA
E12,540ex/590em,NA
F1,540ex/590em,2348000
F2,540ex/590em,2351500
F3,540ex/590em,2350500
F4,540ex/590em,NA
F5,540ex/590em,NA
F6,540ex/590em,NA
F7,540ex/590em,NA
F8,540ex/590em,NA
F9,540ex/590em,NA
F10,540ex/590em,NA
F11,540ex/590em,NA
F12,540ex/590em,NA
G1,540ex/590em,4248000
G2,540ex/590em,4251500
G3,540ex/590em,4250500
G4,540ex/590em,NA
G5,540ex/590em,NA
G6,540ex/590em,NA
G7,540ex/590em,NA
G8,540ex/590em,NA
G9,540ex/590em,NA
G10,540ex/590em,NA
G11,540ex/590em,NA
G12,540ex/590em,NA
H1,540ex/590em,NA
H2,540ex/590em,NA
H3,540ex/590em,NA
H4,540ex/590em,NA
H5,540ex/590em,NA
H6,540ex/590em,NA
H7,540ex/590em,NA
H8,540ex/590em,NA
H9,540ex/590em,NA
H10,540ex/590em,NA
H11,540ex/590em,NA
H12,540ex/590em,NA
