well,540ex/590em
A1,299000
A2,301000
A3,300000
A4,1548000
A5,1551000
A6,1552000
A7,348000
A8,351000
A9,352000
A10,NA
A11,NA
A12,NA
B1,299000
B2,301000
B3,300000
B4,3048000
B5,3051000
B6,3052000
B7,378000
B8,381000
B9,382000
B10,NA
B11,NA
B12,NA
C1,543500
C2,546000
C3,545500
C4,10298000
C5,10301000
C6,10302000
C7,398000
C8,401000
C9,402000
C10,NA
C11,NA
C12,NA
D1,808500
D2,811000
D3,810500
D4,NA
D5,NA
D6,NA
D7,NA
D8,NA
D9,NA
D10,NA
D11,NA
D12,NA
E1,1283000
E2,1286500
E3,1285500
E4,NA
E5,NA
E6,NA
E7,NA
E8,NA
E9,NA
E10,NA
E11,NA
E12,NA
F1,2348000
F2,2351500
F3,2350500
F4,NA
F5,NA
F6,NA
F7,NA
F8,NA
F9,NA
F10,NA
F11,NA
F12,NA
G1,4248000
G2,4251500
G3,4250500
G4,NA
G5,NA
G6,NA
G7,NA
G8,NA
G9,NA
G10,NA
G11,NA
G12,NA
H1,NA
H2,NA
H3,NA
H4,NA
H5,NA
H6,NA
H7,NA
H8,NA
H9,NA
H10,NA
H11,NA
H12,NA
