date,well,label,sample_ID,type,std_conc,std_conc_unit,diluent,volume,sample_dil,sample_dil_final,source,species,suppress
2026.05.10,A1,Blank,,blank,,,Reaction Buffer,10,,,,,FALSE
2026.05.10,A2,Blank,,blank,,,Reaction Buffer,10,,,,,FALSE
2026.05.10,A3,Blank,,blank,,,Reaction Buffer,10,,,,,FALSE
2026.05.10,B1,STD0,STD,std,0,uM,Reaction Buffer,10,,,,,FALSE
2026.05.10,B2,STD0,STD,std,0,uM,Reaction Buffer,10,,,,,FALSE
2026.05.10,B3,STD0,STD,std,0,uM,Reaction Buffer,10,,,,,FALSE
2026.05.10,C1,STD1,STD,std,0.5,uM,Reaction Buffer,10,,,,,FALSE
2026.05.10,C2,STD1,STD,std,0.5,uM,Reaction Buffer,10,,,,,FALSE
2026.05.10,C3,STD1,STD,std,0.5,uM,Reaction Buffer,10,,,,,FALSE
2026.05.10,D1,STD2,STD,std,1,uM,Reaction Buffer,10,,,,,FALSE
2026.05.10,D2,STD2,STD,std,1,uM,Reaction Buffer,10,,,,,FALSE
2026.05.10,D3,STD2,STD,std,1,uM,Reaction Buffer,10,,,,,FALSE
2026.05.10,E1,STD3,STD,std,2,uM,Reaction Buffer,10,,,,,FALSE
2026.05.10,E2,STD3,STD,std,2,uM,Reaction Buffer,10,,,,,FALSE
2026.05.10,E3,STD3,STD,std,2,uM,Reaction Buffer,10,,,,,FALSE
2026.05.10,F1,STD4,STD,std,4,uM,Reaction Buffer,10,,,,,FALSE
2026.05.10,F2,STD4,STD,std,4,uM,Reaction Buffer,10,,,,,FALSE
2026.05.10,F3,STD4,STD,std,4,uM,Reaction Buffer,10,,,,,FALSE
2026.05.10,G1,STD5,STD,std,8,uM,Reaction Buffer,10,,,,,FALSE
2026.05.10,G2,STD5,STD,std,8,uM,Reaction Buffer,10,,,,,FALSE
2026.05.10,G3,STD5,STD,std,8,uM,Reaction Buffer,10,,,,,FALSE
2026.05.10,A4,S001,S001,sample,,,Reaction Buffer,10,1,,head,tenebrio,FALSE
2026.05.10,A5,S001,S001,sample,,,Reaction Buffer,10,1,,head,tenebrio,FALSE
2026.05.10,A6,S001,S001,sample,,,Reaction Buffer,10,1,,head,tenebrio,TRUE
2026.05.10,A7,b1,S001,smp_blk,,,Reaction Buffer,10,,,head,tenebrio,FALSE
2026.05.10,A8,b1,S001,smp_blk,,,Reaction Buffer,10,,,head,tenebrio,FALSE
2026.05.10,A9,b1,S001,smp_blk,,,Reaction Buffer,10,,,head,tenebrio,FALSE
2026.05.10,B4,S002,S002,sample,,,Reaction Buffer,10,1,,head,tenebrio,FALSE
2026.05.10,B5,S002,S002,sample,,,Reaction Buffer,10,1,,head,tenebrio,FALSE
2026.05.10,B6,S002,S002,sample,,,Reaction Buffer,10,1,,head,tenebrio,FALSE
2026.05.10,B7,b2,S002,smp_blk,,,Reaction Buffer,10,,,head,tenebrio,FALSE
2026.05.10,B8,b2,S002,smp_blk,,,Reaction Buffer,10,,,head,tenebrio,FALSE
2026.05.10,B9,b2,S002,smp_blk,,,Reaction Buffer,10,,,head,tenebrio,FALSE
2026.05.10,C4,S003,S003,sample,,,Reaction Buffer,10,1,,head,tenebrio,FALSE
2026.05.10,C5,S003,S003,sample,,,Reaction Buffer,10,1,,head,tenebrio,FALSE
2026.05.10,C6,S003,S003,sample,,,Reaction Buffer,10,1,,head,tenebrio,FALSE
2026.05.10,C7,b3,S003,smp_blk,,,Reaction Buffer,10,,,head,tenebrio,FALSE
2026.05.10,C8,b3,S003,smp_blk,,,Reaction Buffer,10,,,head,tenebrio,FALSE
2026.05.10,C9,b3,S003,smp_blk,,,Reaction Buffer,10,,,head,tenebrio,FALSE
