sample_ID,var,value,value_unit,extrapolated,source
A005,PTN_TCA,92.70275854144575,mg/mL,FALSE,whole_body
A006,PTN_TCA,65.10646831385044,mg/mL,FALSE,whole_body
A007,PTN_TCA,113.02541983574521,mg/mL,FALSE,whole_body
A015,PTN_TCA,89.08974117533745,mg/mL,FALSE,whole_body
A016,PTN_TCA,106.37119661832986,mg/mL,FALSE,whole_body
A017,PTN_TCA,78.26002629838284,mg/mL,FALSE,whole_body
A025,PTN_TCA,91.22842020921873,mg/mL,FALSE,whole_body
A026,PTN_TCA,84.22270487482794,mg/mL,FALSE,whole_body
A027,PTN_TCA,94.7111931321891,mg/mL,FALSE,whole_body
A035,PTN_TCA,108.12734060273041,mg/mL,FALSE,whole_body
A036,PTN_TCA,76.37207003751081,mg/mL,FALSE,whole_body
A037,PTN_TCA,88.39941528005953,mg/mL,FALSE,whole_body
A045,PTN_TCA,93.70357973689916,mg/mL,FALSE,whole_body
A046,PTN_TCA,114.4622293667877,mg/mL,FALSE,whole_body
A047,PTN_TCA,106.34663239257898,mg/mL,FALSE,whole_body
A055,PTN_TCA,88.135176877843,mg/mL,FALSE,whole_body
A056,PTN_TCA,80.29745076485257,mg/mL,FALSE,whole_body
A057,PTN_TCA,104.89705175923436,mg/mL,FALSE,whole_body
A065,PTN_TCA,116.09722358415875,mg/mL,FALSE,whole_body
A066,PTN_TCA,99.85133198959608,mg/mL,FALSE,whole_body
A067,PTN_TCA,74.36401918813621,mg/mL,FALSE,whole_body
A075,PTN_TCA,101.0987783509961,mg/mL,FALSE,whole_body
A076,PTN_TCA,101.75466546079572,mg/mL,FALSE,whole_body
A077,PTN_TCA,72.07484181437438,mg/mL,FALSE,whole_body
