date,well,label,sample_ID,type,std_conc,std_conc_unit,diluent,volume,sample_dil,sample_dil_final,source,species,suppress
2024.11.27b,A1,Blank,,blank,,,,,,,,,FALSE
2024.11.27b,A2,Blank,,blank,,,,,,,,,FALSE
2024.11.27b,A3,Blank,,blank,,,,,,,,,FALSE
2024.11.27b,B1,STD0,STD,std,0,mg/mL,NaOH,,,,,,FALSE
2024.11.27b,B2,STD0,STD,std,0,mg/mL,NaOH,,,,,,FALSE
2024.11.27b,B3,STD0,STD,std,0,mg/mL,NaOH,,,,,,FALSE
2024.11.27b,C1,STD1,STD,std,0.05,mg/mL,NaOH,,,,,,FALSE
2024.11.27b,C2,STD1,STD,std,0.05,mg/mL,NaOH,,,,,,FALSE
2024.11.27b,C3,STD1,STD,std,0.05,mg/mL,NaOH,,,,,,FALSE
2024.11.27b,D1,STD2,STD,std,0.1,mg/mL,NaOH,,,,,,FALSE
2024.11.27b,D2,STD2,STD,std,0.1,mg/mL,NaOH,,,,,,FALSE
2024.11.27b,D3,STD2,STD,std,0.1,mg/mL,NaOH,,,,,,FALSE
2024.11.27b,E1,STD3,STD,std,0.2,mg/mL,NaOH,,,,,,FALSE
2024.11.27b,E2,STD3,STD,std,0.2,mg/mL,NaOH,,,,,,FALSE
2024.11.27b,E3,STD3,STD,std,0.2,mg/mL,NaOH,,,,,,FALSE
2024.11.27b,F1,STD4,STD,std,0.4,mg/mL,NaOH,,,,,,FALSE
2024.11.27b,F2,STD4,STD,std,0.4,mg/mL,NaOH,,,,,,FALSE
2024.11.27b,F3,STD4,STD,std,0.4,mg/mL,NaOH,,,,,,FALSE
2024.11.27b,G1,STD5,STD,std,0.6,mg/mL,NaOH,,,,,,FALSE
2024.11.27b,G2,STD5,STD,std,0.6,mg/mL,NaOH,,,,,,FALSE
2024.11.27b,G3,STD5,STD,std,0.6,mg/mL,NaOH,,,,,,FALSE
2024.11.27b,H1,STD6,STD,std,0.8,mg/mL,NaOH,,,,,,FALSE
2024.11.27b,H2,STD6,STD,std,0.8,mg/mL,NaOH,,,,,,FALSE
2024.11.27b,H3,STD6,STD,std,0.8,mg/mL,NaOH,,,,,,FALSE
2024.11.27b,A4,A05,A005,sample,,,NaOH,,200,200,whole_body,,FALSE
2024.11.27b,A5,A05,A005,sample,,,NaOH,,200,200,whole_body,,FALSE
2024.11.27b,B4,A15,A015,sample,,,NaOH,,200,200,whole_body,,FALSE
2024.11.27b,B5,A15,A015,sample,,,NaOH,,200,200,whole_body,,FALSE
2024.11.27b,C4,A25,A025,sample,,,NaOH,,200,200,whole_body,,FALSE
2024.11.27b,C5,A25,A025,sample,,,NaOH,,200,200,whole_body,,FALSE
2024.11.27b,D4,A35,A035,sample,,,NaOH,,200,200,whole_body,,FALSE
2024.11.27b,D5,A35,A035,sample,,,NaOH,,200,200,whole_body,,FALSE
2024.11.27b,E4,A45,A045,sample,,,NaOH,,200,200,whole_body,,FALSE
2024.11.27b,E5,A45,A045,sample,,,NaOH,,200,200,whole_body,,FALSE
2024.11.27b,F4,A55,A055,sample,,,NaOH,,200,200,whole_body,,FALSE
2024.11.27b,F5,A55,A055,sample,,,NaOH,,200,200,whole_body,,FALSE
2024.11.27b,G4,A65,A065,sample,,,NaOH,,200,200,whole_body,,FALSE
2024.11.27b,G5,A65,A065,sample,,,NaOH,,200,200,whole_body,,FALSE
2024.11.27b,H4,A75,A075,sample,,,NaOH,,200,200,whole_body,,FALSE
2024.11.27b,H5,A75,A075,sample,,,NaOH,,200,200,whole_body,,FALSE
2024.11.27b,A6,A06,A006,sample,,,NaOH,,200,200,whole_body,,FALSE
2024.11.27b,A7,A06,A006,sample,,,NaOH,,200,200,whole_body,,FALSE
2024.11.27b,B6,A16,A016,sample,,,NaOH,,200,200,whole_body,,FALSE
2024.11.27b,B7,A16,A016,sample,,,NaOH,,200,200,whole_body,,FALSE
2024.11.27b,C6,A26,A026,sample,,,NaOH,,200,200,whole_body,,FALSE
2024.11.27b,C7,A26,A026,sample,,,NaOH,,200,200,whole_body,,FALSE
2024.11.27b,D6,A36,A036,sample,,,NaOH,,200,200,whole_body,,FALSE
2024.11.27b,D7,A36,A036,sample,,,NaOH,,200,200,whole_body,,FALSE
2024.11.27b,E6,A46,A046,sample,,,NaOH,,200,200,whole_body,,FALSE
2024.11.27b,E7,A46,A046,sample,,,NaOH,,200,200,whole_body,,FALSE
2024.11.27b,F6,A56,A056,sample,,,NaOH,,200,200,whole_body,,FALSE
2024.11.27b,F7,A56,A056,sample,,,NaOH,,200,200,whole_body,,FALSE
2024.11.27b,G6,A66,A066,sample,,,NaOH,,200,200,whole_body,,FALSE
2024.11.27b,G7,A66,A066,sample,,,NaOH,,200,200,whole_body,,FALSE
2024.11.27b,H6,A76,A076,sample,,,NaOH,,200,200,whole_body,,FALSE
2024.11.27b,H7,A76,A076,sample,,,NaOH,,200,200,whole_body,,FALSE
2024.11.27b,A8,A07,A007,sample,,,NaOH,,200,200,whole_body,,FALSE
2024.11.27b,A9,A07,A007,sample,,,NaOH,,200,200,whole_body,,FALSE
2024.11.27b,B8,A17,A017,sample,,,NaOH,,200,200,whole_body,,FALSE
2024.11.27b,B9,A17,A017,sample,,,NaOH,,200,200,whole_body,,FALSE
2024.11.27b,C8,A27,A027,sample,,,NaOH,,200,200,whole_body,,FALSE
2024.11.27b,C9,A27,A027,sample,,,NaOH,,200,200,whole_body,,FALSE
