date,well,label,sample_ID,type,std_conc,std_conc_unit,diluent,volume,sample_dil,sample_dil_final,source,species,suppress
2026.06.22,A1,Blank,,blank,,,buffer,10,,,,,FALSE
2026.06.22,A2,Blank,,blank,,,buffer,10,,,,,FALSE
2026.06.22,A3,Blank,,blank,,,buffer,10,,,,,FALSE
2026.06.22,B1,STD0,STD,std,0,mM,buffer,10,,,,,FALSE
2026.06.22,B2,STD0,STD,std,0,mM,buffer,10,,,,,FALSE
2026.06.22,B3,STD0,STD,std,0,mM,buffer,10,,,,,FALSE
2026.06.22,C1,STD1,STD,std,0.1,mM,buffer,10,,,,,FALSE
2026.06.22,C2,STD1,STD,std,0.1,mM,buffer,10,,,,,FALSE
2026.06.22,C3,STD1,STD,std,0.1,mM,buffer,10,,,,,FALSE
2026.06.22,D1,STD2,STD,std,0.25,mM,buffer,10,,,,,FALSE
2026.06.22,D2,STD2,STD,std,0.25,mM,buffer,10,,,,,FALSE
2026.06.22,D3,STD2,STD,std,0.25,mM,buffer,10,,,,,FALSE
2026.06.22,E1,STD3,STD,std,0.5,mM,buffer,10,,,,,FALSE
2026.06.22,E2,STD3,STD,std,0.5,mM,buffer,10,,,,,FALSE
2026.06.22,E3,STD3,STD,std,0.5,mM,buffer,10,,,,,FALSE
2026.06.22,F1,STD4,STD,std,0.75,mM,buffer,10,,,,,FALSE
2026.06.22,F2,STD4,STD,std,0.75,mM,buffer,10,,,,,FALSE
2026.06.22,F3,STD4,STD,std,0.75,mM,buffer,10,,,,,FALSE
2026.06.22,G1,STD5,STD,std,1.0,mM,buffer,10,,,,,FALSE
2026.06.22,G2,STD5,STD,std,1.0,mM,buffer,10,,,,,FALSE
2026.06.22,G3,STD5,STD,std,1.0,mM,buffer,10,,,,,FALSE
2026.06.22,A4,S001,S001,sample,,,buffer,10,1,,head,tenebrio,FALSE
2026.06.22,A5,S001,S001,sample,,,buffer,10,1,,head,tenebrio,FALSE
2026.06.22,A6,S001,S001,sample,,,buffer,10,1,,head,tenebrio,FALSE
2026.06.22,B4,S002,S002,sample,,,buffer,10,1,,head,tenebrio,FALSE
2026.06.22,B5,S002,S002,sample,,,buffer,10,1,,head,tenebrio,FALSE
2026.06.22,B6,S002,S002,sample,,,buffer,10,1,,head,tenebrio,FALSE
