sample_ID,var,value,value_unit,extrapolated,source
A005,tGSH,32.29179663592068,µM,FALSE,whole_body
A006,tGSH,34.46690971332065,µM,FALSE,whole_body
A007,tGSH,28.01454472905781,µM,FALSE,whole_body
A015,tGSH,33.971405560661545,µM,FALSE,whole_body
A016,tGSH,18.52774234446526,µM,FALSE,whole_body
A017,tGSH,29.295798345615445,µM,FALSE,whole_body
A025,tGSH,32.444952464924405,µM,FALSE,whole_body
A026,tGSH,31.36190050943042,µM,FALSE,whole_body
A027,tGSH,27.186602335796486,µM,FALSE,whole_body
A035,tGSH,35.43089051940293,µM,FALSE,whole_body
A036,tGSH,36.66724845667418,µM,FALSE,whole_body
A037,tGSH,17.939143472215648,µM,FALSE,whole_body
A045,tGSH,26.255655139891488,µM,FALSE,whole_body
A046,tGSH,17.65085014703216,µM,FALSE,whole_body
A047,tGSH,16.886122071428264,µM,FALSE,whole_body
A055,tGSH,28.26169619429323,µM,FALSE,whole_body
A056,tGSH,28.385872538005078,µM,FALSE,whole_body
A057,tGSH,26.8841946499009,µM,FALSE,whole_body
A065,tGSH,25.848290665296286,µM,FALSE,whole_body
A066,tGSH,15.68895400804914,µM,FALSE,whole_body
A067,tGSH,31.580072489373954,µM,FALSE,whole_body
A075,tGSH,32.20365695785678,µM,FALSE,whole_body
A076,tGSH,22.166394505492015,µM,FALSE,whole_body
A077,tGSH,31.20469055554129,µM,FALSE,whole_body
