date,well,label,sample_ID,type,std_conc,std_conc_unit,diluent,volume,sample_dil,sample_dil_final,source,species,suppress,treatment
2024.11.22,A1,Blank,,blank,,,,,,,,,FALSE,
2024.11.22,A2,Blank,,blank,,,,,,,,,FALSE,
2024.11.22,A3,Blank,,blank,,,,,,,,,FALSE,
2024.11.22,B1,STD0,STD,std,0,µM,10%_TCA,,,,std,,FALSE,
2024.11.22,B2,STD0,STD,std,0,µM,10%_TCA,,,,std,,FALSE,
2024.11.22,B3,STD0,STD,std,0,µM,10%_TCA,,,,std,,FALSE,
2024.11.22,C1,STD1,STD,std,0.25,µM,10%_TCA,,,,std,,FALSE,
2024.11.22,C2,STD1,STD,std,0.25,µM,10%_TCA,,,,std,,FALSE,
2024.11.22,C3,STD1,STD,std,0.25,µM,10%_TCA,,,,std,,FALSE,
2024.11.22,D1,STD2,STD,std,0.5,µM,10%_TCA,,,,std,,FALSE,
2024.11.22,D2,STD2,STD,std,0.5,µM,10%_TCA,,,,std,,FALSE,
2024.11.22,D3,STD2,STD,std,0.5,µM,10%_TCA,,,,std,,FALSE,
2024.11.22,E1,STD3,STD,std,1,µM,10%_TCA,,,,std,,FALSE,
2024.11.22,E2,STD3,STD,std,1,µM,10%_TCA,,,,std,,FALSE,
2024.11.22,E3,STD3,STD,std,1,µM,10%_TCA,,,,std,,FALSE,
2024.11.22,F1,STD4,STD,std,2,µM,10%_TCA,,,,std,,FALSE,
2024.11.22,F2,STD4,STD,std,2,µM,10%_TCA,,,,std,,FALSE,
2024.11.22,F3,STD4,STD,std,2,µM,10%_TCA,,,,std,,FALSE,
2024.11.22,G1,STD5,STD,std,4,µM,10%_TCA,,,,std,,FALSE,
2024.11.22,G2,STD5,STD,std,4,µM,10%_TCA,,,,std,,FALSE,
2024.11.22,G3,STD5,STD,std,4,µM,10%_TCA,,,,std,,FALSE,
2024.11.22,H1,,,,,,,,,,,,FALSE,
2024.11.22,H2,,,,,,,,,,,,FALSE,
2024.11.22,H3,,,,,,,,,,,,FALSE,
2024.11.22,A4,A05,A005,sample,,,10%_TCA,5,10,10,whole_body,,FALSE,ctrl
2024.11.22,A5,A05,A005,sample,,,10%_TCA,5,10,10,whole_body,,FALSE,ctrl
2024.11.22,B4,A15,A015,sample,,,10%_TCA,5,10,10,whole_body,,FALSE,anoxia_002m
2024.11.22,B5,A15,A015,sample,,,10%_TCA,5,10,10,whole_body,,FALSE,anoxia_002m
2024.11.22,C4,A25,A025,sample,,,10%_TCA,5,10,10,whole_body,,FALSE,anoxia_015m
2024.11.22,C5,A25,A025,sample,,,10%_TCA,5,10,10,whole_body,,FALSE,anoxia_015m
2024.11.22,D4,A35,A035,sample,,,10%_TCA,5,10,10,whole_body,,FALSE,anoxia_030m
2024.11.22,D5,A35,A035,sample,,,10%_TCA,5,10,10,whole_body,,FALSE,anoxia_030m
2024.11.22,E4,A45,A045,sample,,,10%_TCA,5,10,10,whole_body,,FALSE,anoxia_060m
2024.11.22,E5,A45,A045,sample,,,10%_TCA,5,10,10,whole_body,,FALSE,anoxia_060m
2024.11.22,F4,A55,A055,sample,,,10%_TCA,5,10,10,whole_body,,FALSE,anoxia_120m
