date,well,label,sample_ID,type,std_conc,std_conc_unit,diluent,volume,sample_dil,sample_dil_final,source,species,suppress
YYYY.MM.DD,A1,Blank,,blank,,,,,,,,,
YYYY.MM.DD,A2,Blank,,blank,,,,,,,,,
YYYY.MM.DD,A3,Blank,,blank,,,,,,,,,
YYYY.MM.DD,B1,STD0,STD,std,0,mg/mL,buffer,10,,,,,
YYYY.MM.DD,B2,STD0,STD,std,0,mg/mL,buffer,10,,,,,
YYYY.MM.DD,B3,STD0,STD,std,0,mg/mL,buffer,10,,,,,
YYYY.MM.DD,C1,STD1,STD,std,0.1,mg/mL,buffer,10,,,,,
YYYY.MM.DD,C2,STD1,STD,std,0.1,mg/mL,buffer,10,,,,,
YYYY.MM.DD,C3,STD1,STD,std,0.1,mg/mL,buffer,10,,,,,
YYYY.MM.DD,D1,STD2,STD,std,0.25,mg/mL,buffer,10,,,,,
YYYY.MM.DD,D2,STD2,STD,std,0.25,mg/mL,buffer,10,,,,,
YYYY.MM.DD,D3,STD2,STD,std,0.25,mg/mL,buffer,10,,,,,
YYYY.MM.DD,E1,STD3,STD,std,0.5,mg/mL,buffer,10,,,,,
YYYY.MM.DD,E2,STD3,STD,std,0.5,mg/mL,buffer,10,,,,,
YYYY.MM.DD,E3,STD3,STD,std,0.5,mg/mL,buffer,10,,,,,
YYYY.MM.DD,F1,STD4,STD,std,0.75,mg/mL,buffer,10,,,,,
YYYY.MM.DD,F2,STD4,STD,std,0.75,mg/mL,buffer,10,,,,,
YYYY.MM.DD,F3,STD4,STD,std,0.75,mg/mL,buffer,10,,,,,
YYYY.MM.DD,G1,STD5,STD,std,1.0,mg/mL,buffer,10,,,,,
YYYY.MM.DD,G2,STD5,STD,std,1.0,mg/mL,buffer,10,,,,,
YYYY.MM.DD,G3,STD5,STD,std,1.0,mg/mL,buffer,10,,,,,
YYYY.MM.DD,A4,S001,S001,sample,,,buffer,1,1,10,tissue,species,FALSE
YYYY.MM.DD,A5,S001,S001,sample,,,buffer,1,1,10,tissue,species,FALSE
YYYY.MM.DD,A6,S001,S001,sample,,,buffer,1,1,10,tissue,species,FALSE
YYYY.MM.DD,B4,S002,S002,sample,,,buffer,1,1,10,tissue,species,FALSE
YYYY.MM.DD,B5,S002,S002,sample,,,buffer,1,1,10,tissue,species,FALSE
YYYY.MM.DD,B6,S002,S002,sample,,,buffer,1,1,10,tissue,species,FALSE
